,City,State,Country,Region,Elevation,Latitude,Lat2,Longtitude,Long2,AveTemp01,AveTemp02,AveTemp03,AveTemp04,AveTemp05,AveTemp06,AveTemp07,AveTemp08,AveTemp09,AveTemp10,AveTemp11,AveTemp12,AveHighTemp01,AveHighTemp02,AveHighTemp03,AveHighTemp04,AveHighTemp05,AveHighTemp06,AveHighTemp07,AveHighTemp08,AveHighTemp09,AveHighTemp10,AveHighTemp11,AveHighTemp12,AveLowTemp01,AveLowTemp02,AveLowTemp03,AveLowTemp04,AveLowTemp05,AveLowTemp06,AveLowTemp07,AveLowTemp08,AveLowTemp09,AveLowTemp10,AveLowTemp11,AveLowTemp12,AvePrecip01,AvePrecip02,AvePrecip03,AvePrecip04,AvePrecip05,AvePrecip06,AvePrecip07,AvePrecip08,AvePrecip09,AvePrecip10,AvePrecip11,AvePrecip12,AveHumidity01,AveHumidity02,AveHumidity03,AveHumidity04,AveHumidity05,AveHumidity06,AveHumidity07,AveHumidity08,AveHumidity09,AveHumidity10,AveHumidity11,AveHumidity12,KC
Abuja,Abuja,Abuja Federal Capital Territory,Nigeria,Africa,355.18,9.1,N,7.11,E,27.77777777777778,29.444444444444443,30.0,28.88888888888889,26.666666666666668,26.11111111111111,25.0,25.0,25.0,26.11111111111111,26.666666666666668,26.666666666666668,34.44444444444444,36.111111111111114,36.666666666666664,35.55555555555556,32.77777777777778,30.555555555555557,28.88888888888889,28.333333333333332,30.0,31.666666666666668,33.888888888888886,34.44444444444444,20.0,22.77777777777778,24.444444444444443,25.0,23.333333333333332,22.22222222222222,21.666666666666668,21.666666666666668,21.11111111111111,21.11111111111111,18.88888888888889,18.88888888888889,2.54,5.08,12.7,60.959999999999994,137.16,175.26,205.73999999999998,218.43999999999997,238.76,99.05999999999999,2.54,0.0,,,,,,,,,,,,,Aw
Accra,Accra,Greater Accra,Ghana,Africa,68.026,5.36,N,0.1,W,27.77777777777778,28.88888888888889,28.88888888888889,28.88888888888889,27.77777777777778,26.666666666666668,25.555555555555557,25.0,26.11111111111111,26.666666666666668,27.77777777777778,27.77777777777778,30.555555555555557,31.11111111111111,31.11111111111111,30.555555555555557,30.0,28.333333333333332,27.22222222222222,26.666666666666668,27.77777777777778,28.88888888888889,30.555555555555557,30.0,25.0,26.11111111111111,26.11111111111111,26.11111111111111,25.555555555555557,24.444444444444443,23.88888888888889,23.333333333333332,23.88888888888889,24.444444444444443,25.0,25.0,15.239999999999998,27.94,55.88,88.89999999999999,134.61999999999998,198.11999999999998,50.8,17.779999999999998,43.18,63.5,33.019999999999996,20.32,,,,,,,,,,,,,Aw
Addis Ababa,Addis Ababa,Adis Abeba,Ethiopia,Africa,2324.924,8.59,N,38.48,E,16.11111111111111,17.22222222222222,17.77777777777778,17.77777777777778,18.333333333333332,17.22222222222222,15.555555555555555,16.11111111111111,16.11111111111111,16.666666666666668,15.555555555555555,15.555555555555555,20.555555555555557,21.11111111111111,22.22222222222222,21.666666666666668,22.22222222222222,20.555555555555557,18.333333333333332,18.333333333333332,18.88888888888889,20.555555555555557,20.555555555555557,20.555555555555557,11.666666666666666,12.777777777777779,13.333333333333334,13.88888888888889,14.444444444444445,13.333333333333334,12.777777777777779,12.777777777777779,12.777777777777779,12.222222222222221,10.555555555555555,10.555555555555555,17.779999999999998,38.099999999999994,68.58,86.36,86.36,132.07999999999998,266.7,281.94,185.42,27.94,10.16,10.16,,,,,,,,,,,,,Cwb
Algiers,Algiers,Alger,Algeria,Africa,24.682,36.43,N,3.15,E,11.11111111111111,12.222222222222221,12.777777777777779,14.444444444444445,17.77777777777778,21.666666666666668,25.0,25.555555555555557,23.333333333333332,19.444444444444443,15.555555555555555,12.777777777777779,16.11111111111111,16.666666666666668,18.333333333333332,20.0,22.77777777777778,26.666666666666668,30.0,31.11111111111111,28.88888888888889,25.0,20.555555555555557,17.22222222222222,6.111111111111111,6.666666666666667,7.222222222222222,9.444444444444445,12.222222222222221,16.11111111111111,19.444444444444443,20.0,17.77777777777778,13.88888888888889,10.0,7.777777777777778,104.13999999999999,83.82,76.19999999999999,58.419999999999995,38.099999999999994,15.239999999999998,2.54,5.08,33.019999999999996,86.36,109.21999999999998,129.54,,,,,,,,,,,,,Csa
Antananarivo,Antananarivo,Analamanga,Madagascar,Africa,1259.685,18.48,S,47.29,E,21.666666666666668,21.666666666666668,21.11111111111111,20.555555555555557,18.333333333333332,16.11111111111111,15.0,16.11111111111111,17.77777777777778,19.444444444444443,20.555555555555557,21.11111111111111,25.555555555555557,25.0,25.0,23.88888888888889,22.22222222222222,20.0,19.444444444444443,20.0,22.77777777777778,25.0,25.555555555555557,25.0,17.77777777777778,17.77777777777778,17.22222222222222,16.11111111111111,13.88888888888889,11.666666666666666,10.555555555555555,11.11111111111111,12.222222222222221,14.444444444444445,16.11111111111111,17.22222222222222,287.02,261.62,193.04,58.419999999999995,17.779999999999998,7.619999999999999,7.619999999999999,10.16,15.239999999999998,60.959999999999994,152.39999999999998,289.56,,,,,,,,,,,,,Cwb
Asmara,Asmara,Maekel Region,Eritrea,Africa,2326.1279999999997,15.17,N,38.55,E,16.666666666666668,17.22222222222222,18.333333333333332,18.88888888888889,19.444444444444443,19.444444444444443,17.22222222222222,17.22222222222222,17.77777777777778,17.22222222222222,16.11111111111111,15.555555555555555,20.555555555555557,21.666666666666668,22.77777777777778,22.77777777777778,22.77777777777778,22.77777777777778,19.444444444444443,19.444444444444443,21.11111111111111,20.0,19.444444444444443,20.0,12.222222222222221,12.777777777777779,13.88888888888889,15.0,16.11111111111111,16.11111111111111,14.444444444444445,14.444444444444445,14.444444444444445,13.88888888888889,12.222222222222221,11.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,Not Available
Bakau,Bakau,Banjul,The Gambia,Africa,14.748999999999999,13.29,N,16.41,W,23.5,24.88888888888889,25.72222222222222,25.777777777777782,26.11111111111111,27.5,27.277777777777775,26.611111111111114,26.77777777777778,27.22222222222222,25.888888888888886,23.77777777777778,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.08,68.58,228.6,375.92,271.78,86.36,5.08,2.54,48.5,49.1,50.4,53.8,59.8,68.4,75.9,79.8,80.5,75.0,62.9,52.1,Aw
Bamako,Bamako,Bamako,Mali,Africa,376.25,12.32,N,7.57,W,25.555555555555557,28.333333333333332,31.11111111111111,32.22222222222222,31.666666666666668,28.88888888888889,26.666666666666668,26.11111111111111,26.666666666666668,27.77777777777778,27.22222222222222,25.0,31.666666666666668,34.44444444444444,36.666666666666664,38.333333333333336,36.666666666666664,33.888888888888886,30.555555555555557,30.0,31.11111111111111,33.333333333333336,33.888888888888886,31.666666666666668,18.88888888888889,21.666666666666668,24.444444444444443,26.666666666666668,26.11111111111111,23.88888888888889,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,20.0,18.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,Not Available
Bangui,Bangui,Bangui,Central African Republic,Africa,361.2,4.24,N,18.31,E,24.444444444444443,26.666666666666668,28.333333333333332,27.22222222222222,26.666666666666668,26.11111111111111,25.0,25.0,25.0,25.555555555555557,25.555555555555557,25.0,28.88888888888889,31.666666666666668,32.22222222222222,31.11111111111111,30.0,28.88888888888889,27.77777777777778,27.77777777777778,28.333333333333332,28.333333333333332,28.333333333333332,28.88888888888889,20.0,22.22222222222222,23.88888888888889,23.333333333333332,23.333333333333332,22.77777777777778,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,20.555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,Not Available
Bissau,Bissau,Bissau,Guinea-Bissau,Africa,35.518,11.53,N,15.39,W,26.11111111111111,27.77777777777778,28.333333333333332,28.88888888888889,28.88888888888889,28.333333333333332,27.22222222222222,26.666666666666668,27.22222222222222,28.333333333333332,27.77777777777778,26.666666666666668,30.0,32.22222222222222,32.77777777777778,32.77777777777778,32.22222222222222,30.555555555555557,28.88888888888889,28.333333333333332,29.444444444444443,30.555555555555557,31.11111111111111,30.0,21.666666666666668,22.77777777777778,23.88888888888889,24.444444444444443,25.0,25.555555555555557,25.555555555555557,25.0,25.555555555555557,26.11111111111111,25.0,22.77777777777778,,,,,,,,,,,,,,,,,,,,,,,,,Not Available
